active_number,total_number,group
2,8,"('1866', 'chocolate')"
2,8,"('1866', 'chocolate')"
2,8,"('1866', 'chocolate')"
0,8,"('1866', 'chocolate')"
2,8,"('1866', 'chocolate')"
0,8,"('1866', 'chocolate')"
0,8,"('1866', 'chocolate')"
1,8,"('1866', 'chocolate')"
1,8,"('1866', 'chocolate')"
2,8,"('1866', 'chocolate')"
0,8,"('1866', 'chocolate')"
0,8,"('1866', 'chocolate')"
1,7,"('1866', 'quinine')"
1,7,"('1866', 'quinine')"
4,7,"('1866', 'quinine')"
1,7,"('1866', 'quinine')"
4,7,"('1866', 'strawberry')"
0,7,"('1866', 'strawberry')"
0,7,"('1866', 'strawberry')"
0,7,"('1866', 'strawberry')"
0,7,"('1866', 'strawberry')"
0,7,"('1866', 'strawberry')"
0,7,"('1866', 'strawberry')"
0,7,"('1866', 'strawberry')"
0,7,"('1866', 'strawberry')"
0,7,"('1866', 'strawberry')"
0,7,"('1866', 'strawberry')"
1,7,"('1866', 'strawberry')"
0,7,"('1866', 'strawberry')"
2,6,"('1866', 'vanilla')"
2,6,"('1866', 'vanilla')"
2,6,"('1866', 'vanilla')"
2,10,"('1866', 'water')"
4,10,"('1866', 'water')"
0,10,"('1866', 'water')"
5,30,"('1891', 'chocolate')"
7,43,"('1891', 'quinine')"
4,43,"('1891', 'quinine')"
12,43,"('1891', 'quinine')"
11,36,"('1891', 'strawberry')"
5,36,"('1891', 'strawberry')"
1,36,"('1891', 'strawberry')"
2,47,"('1891', 'vanilla')"
9,39,"('1891', 'water')"
3,39,"('1891', 'water')"
0,39,"('1891', 'water')"
1,12,"('1925', 'chocolate')"
0,12,"('1925', 'chocolate')"
0,12,"('1925', 'chocolate')"
0,12,"('1925', 'quinine')"
0,12,"('1925', 'quinine')"
0,10,"('1925', 'strawberry')"
0,10,"('1925', 'strawberry')"
2,10,"('1925', 'strawberry')"
0,10,"('1925', 'strawberry')"
0,10,"('1925', 'strawberry')"
0,12,"('1925', 'vanilla')"
0,12,"('1925', 'vanilla')"
0,12,"('1925', 'vanilla')"
0,12,"('1925', 'vanilla')"
0,12,"('1925', 'water')"
1,12,"('1925', 'water')"
0,12,"('1925', 'water')"
0,7,"('2015', 'chocolate')"
0,7,"('2015', 'chocolate')"
2,7,"('2015', 'chocolate')"
1,7,"('2015', 'chocolate')"
2,7,"('2015', 'chocolate')"
3,8,"('2015', 'quinine')"
2,8,"('2015', 'quinine')"
2,8,"('2015', 'quinine')"
0,8,"('2015', 'quinine')"
2,8,"('2015', 'quinine')"
0,4,"('2015', 'strawberry')"
0,4,"('2015', 'strawberry')"
0,4,"('2015', 'strawberry')"
1,4,"('2015', 'strawberry')"
0,4,"('2015', 'strawberry')"
1,4,"('2015', 'strawberry')"
0,4,"('2015', 'strawberry')"
0,4,"('2015', 'strawberry')"
0,4,"('2015', 'strawberry')"
0,4,"('2015', 'strawberry')"
1,4,"('2015', 'strawberry')"
0,4,"('2015', 'strawberry')"
0,4,"('2015', 'strawberry')"
0,4,"('2015', 'strawberry')"
0,4,"('2015', 'strawberry')"
1,4,"('2015', 'strawberry')"
1,4,"('2015', 'strawberry')"
3,5,"('2015', 'vanilla')"
3,5,"('2015', 'vanilla')"
0,5,"('2015', 'vanilla')"
1,5,"('2015', 'vanilla')"
3,7,"('2015', 'water')"
3,7,"('2015', 'water')"
4,7,"('2015', 'water')"
13,23,"('2021', 'chocolate')"
