Time,Cell,F,bite,bitepoint,biting,lickpoint
0,C00,-3.644043,0,0,,0
0.099920097,C00,0.09236104,0,0,,0
0.199840194,C00,-0.4428843,0,0,,0
0.299760291,C00,-0.03944111,0,0,,0
0.399680388,C00,0.1276429,0,0,,0
0.499600485,C00,1.003557,0,0,,0
0.599520582,C00,1.397268,0,0,,0
0.699440679,C00,1.142153,0,0,,0
0.799360776,C00,-0.3312963,0,0,,0
0.899280873,C00,1.882876,0,0,,0
0.99920097,C00,0.3273998,0,0,,0
1.099121067,C00,-0.36961,0,0,,0
1.199041164,C00,1.862183,0,0,,0
1.298961261,C00,1.114621,0,0,,0
1.398881358,C00,0.3855,0,0,,0
1.498801455,C00,0.1649428,0,0,,0
1.598721552,C00,0.3797073,0,0,,0
1.698641649,C00,-1.414843,0,0,,0
1.798561746,C00,0.4626144,0,0,,0
1.898481843,C00,-0.02676859,0,0,,0
1.99840194,C00,2.31917,0,0,,0
2.098322037,C00,0.9765368,0,0,,0
2.198242134,C00,-0.3236784,0,0,,0
2.298162231,C00,-0.8384025,0,0,,0
2.398082328,C00,0.155677,0,0,,0
2.498002425,C00,0.0963882,0,0,,0
2.597922522,C00,-0.5982026,0,0,,0
2.697842619,C00,0.5739691,0,0,,0
2.797762716,C00,1.618261,0,0,,0
2.897682813,C00,1.961328,0,0,,0
2.99760291,C00,2.384763,0,0,,0
3.097523007,C00,1.752634,0,0,,0
3.197443104,C00,0.6773337,0,0,,0
3.297363201,C00,1.959316,0,0,,0
3.397283298,C00,2.62358,0,0,,0
3.497203395,C00,2.584497,0,0,,0
3.597123492,C00,1.249586,0,0,,0
3.697043589,C00,1.181812,0,0,,0
3.796963686,C00,1.396406,0,0,,0
3.896883783,C00,1.680501,0,0,,0
3.99680388,C00,3.067566,0,0,,0
4.096723977,C00,1.928846,0,0,,0
4.196644074,C00,2.33477,0,0,,0
4.296564171,C00,2.456641,0,0,,0
4.396484268,C00,1.053066,0,0,,0
4.496404365,C00,1.526829,0,0,,0
4.596324462,C00,0.8777784,0,0,,0
4.696244559,C00,1.718082,0,0,,0
4.796164656,C00,1.662606,0,0,,0
4.896084753,C00,1.054159,0,0,,0
4.99600485,C00,3.028392,0,0,,0
5.095924947,C00,3.133135,0,0,,0
5.195845044,C00,0.6178017,0,0,,0
5.295765141,C00,4.053118,0,0,,0
5.395685238,C00,2.17817,0,0,,0
5.495605335,C00,2.218293,0,0,,0
5.595525432,C00,3.298089,0,0,,0
5.695445529,C00,3.144417,0,0,,0
5.795365626,C00,2.633939,0,0,,0
5.895285723,C00,3.085732,0,0,,0
5.99520582,C00,2.679037,0,0,,0
6.095125917,C00,2.070849,0,0,,0
6.195046014,C00,1.907161,0,0,,0
6.294966111,C00,-0.007368162,0,0,,0
6.394886208,C00,2.182167,0,0,,0
6.494806305,C00,1.900859,0,0,,0
6.594726402,C00,3.489384,0,0,,0
6.694646499,C00,1.898759,0,0,,0
6.794566596,C00,0.9769704,0,0,,0
6.894486693,C00,2.936575,0,0,,0
6.99440679,C00,2.37477,0,0,,0
7.094326887,C00,3.480517,0,0,,0
7.194246984,C00,1.658662,0,0,,0
7.294167081,C00,-0.07614107,0,0,,0
7.394087178,C00,1.281433,0,0,,0
7.494007275,C00,0.9382403,0,0,,0
7.593927372,C00,1.707677,0,0,,0
7.693847469,C00,0.6988231,0,0,,0
7.793767566,C00,0.9347404,0,0,,0
7.893687663,C00,0.6761342,0,0,,0
7.99360776,C00,0.6835862,0,0,,0
8.093527857,C00,-1.266356,0,0,,0
8.193447954,C00,1.691453,0,0,,0
8.293368051,C00,1.516594,0,0,,0
8.393288148,C00,1.781381,0,0,,0
8.493208245,C00,1.938931,0,0,,0
8.593128342,C00,0.6935946,0,0,,0
8.693048439,C00,0.6315144,0,0,,0
8.792968536,C00,3.013962,0,0,,0
8.892888633,C00,0.7507184,0,0,,0
8.99280873,C00,1.663817,0,0,,0
9.092728827,C00,-0.05827632,0,0,,0
9.192648924,C00,1.141928,0,0,,0
9.292569021,C00,2.389152,0,0,,0
9.392489118,C00,0.7927557,0,0,,0
9.492409215,C00,0.4206345,0,0,,0
9.592329312,C00,1.732129,0,0,,0
9.692249409,C00,1.634482,0,0,,0
9.792169506,C00,0.8518943,0,0,,0
9.892089603,C00,1.047113,0,0,,0
9.9920097,C00,0.3579233,0,0,,0
10.0919298,C00,1.565424,0,0,,0
10.19184989,C00,1.621099,0,0,,0
10.29176999,C00,1.478336,0,0,,0
10.39169009,C00,1.835853,0,0,,0
10.49161019,C00,0.2551937,0,0,,0
10.59153028,C00,0.8036948,0,0,,0
10.69145038,C00,0.223435,0,0,,0
10.79137048,C00,-1.148656,0,0,,0
10.89129057,C00,0.3865469,0,0,,0
10.99121067,C00,1.264039,0,0,,0
11.09113077,C00,1.543939,0,0,,0
11.19105086,C00,0.4773879,0,0,,0
11.29097096,C00,-0.1100127,0,0,,0
11.39089106,C00,0.7551326,0,0,,0
11.49081116,C00,-0.1918084,0,0,,0
11.59073125,C00,1.546468,0,0,,0
11.69065135,C00,1.333531,0,0,,0
