Time,Cell,F,lickpoint,licking,bitepoint
0,C00,5.279581,0,,0
0.099920065,C00,6.971666,0,,0
0.199840129,C00,6.602049,0,,0
0.299760194,C00,6.691307,0,,0
0.399680259,C00,7.481184,0,,0
0.499600324,C00,7.345651,0,,0
0.599520388,C00,6.9621,0,,0
0.699440453,C00,16.1639,0,,0
0.799360518,C00,15.62763,0,,0
0.899280582,C00,11.90616,0,,0
0.999200647,C00,11.59449,0,,0
1.099120712,C00,8.486635,0,,0
1.199040777,C00,9.666172,0,,0
1.298960841,C00,7.222485,0,,0
1.398880906,C00,5.183149,0,,0
1.498800971,C00,7.424367,0,,0
1.598721035,C00,10.91214,0,,0
1.6986411,C00,20.43954,0,,0
1.798561165,C00,17.18414,0,,0
1.89848123,C00,13.83455,0,,0
1.998401294,C00,13.21336,0,,0
2.098321359,C00,12.21051,0,,0
2.198241424,C00,11.01071,0,,0
2.298161488,C00,10.91791,0,,0
2.398081553,C00,11.2372,0,,0
2.498001618,C00,9.895042,0,,0
2.597921683,C00,8.713302,0,,0
2.697841747,C00,7.00812,0,0,0
2.797761812,C00,7.607182,0,0,0
2.897681877,C00,8.744752,0,0,0
2.997601941,C00,12.28302,0,0,0
3.097522006,C00,11.36041,0,0,0
3.197442071,C00,10.31655,0,0,0
3.297362136,C00,11.80993,0,0,0
3.3972822,C00,9.585517,0,0,0
3.497202265,C00,5.73168,0,0,0
3.59712233,C00,7.214425,0,0,0
3.697042394,C00,14.71752,0,0,0
3.796962459,C00,12.22966,0,0,0
3.896882524,C00,9.30574,0,0,0
3.996802589,C00,8.725027,0,0,0
4.096722653,C00,6.216191,0,0,0
4.196642718,C00,6.431798,0,0,0
4.296562783,C00,5.253476,0,0,0
4.396482847,C00,4.335484,0,0,0
4.496402912,C00,4.633804,0,0,0
4.596322977,C00,3.424352,0,0,0
4.696243042,C00,5.389252,0,0,0
4.796163106,C00,6.559882,0,0,0
4.896083171,C00,4.958286,0,0,0
4.996003236,C00,3.719088,0,0,0
5.0959233,C00,3.521782,0,0,0
5.195843365,C00,1.933113,0,0,0
5.29576343,C00,2.580638,0,0,0
5.395683495,C00,1.528155,0,0,0
5.495603559,C00,1.423298,0,0,0
5.595523624,C00,0.567091,0,0,0
5.695443689,C00,2.206675,0,0,0
5.795363753,C00,3.156691,0,0,0
5.895283818,C00,0.417784,0,0,0
5.995203883,C00,2.733881,0,0,0
6.095123948,C00,2.736766,0,0,0
6.195044012,C00,2.685703,0,0,0
